classid,classname,groupId,trace,grouptrace
0,org.mybatis.jpetstore.web.actions.CatalogActionBean,0,0;1;2;9,10;13;1;0;2;5;9
1,org.mybatis.jpetstore.service.CatalogService,0,0;1;2;5;9;10,10;13;1;0;2;5;9
2,org.mybatis.jpetstore.domain.Product,0,0;1;2;9;10;13,10;13;1;0;2;5;9
3,org.mybatis.jpetstore.domain.Category,1,0,0
4,org.mybatis.jpetstore.domain.Item,2,2;3;7;8;9;10;11;13,11;10;13;3;2;7;9;8
5,org.mybatis.jpetstore.web.actions.AccountActionBean,3,3;4;5;6;10;11;12;13;14,11;10;13;12;14;3;5;4;6
6,org.mybatis.jpetstore.domain.Account,3,3;4;5;6;10;11;12;13;14,11;10;13;12;14;3;5;4;6
7,org.mybatis.jpetstore.domain.Cart,4,3;6;7;8;10;11,11;10;3;7;6;8
8,org.mybatis.jpetstore.domain.CartItem,4,3;7;8;10;11,11;10;3;7;6;8
15,org.mybatis.jpetstore.web.actions.CartActionBean,4,6;7;8;10;11,11;10;3;7;6;8
9,org.mybatis.jpetstore.service.AccountService,5,5,5
10,org.mybatis.jpetstore.web.actions.OrderActionBean,6,6;11;13;14,11;13;14;6
11,org.mybatis.jpetstore.domain.Order,6,6;11;13;14,11;13;14;6
12,org.mybatis.jpetstore.service.OrderService,6,6;13;14,11;13;14;6
14,org.mybatis.jpetstore.domain.LineItem,6,6;11;13,11;13;14;6
13,org.mybatis.jpetstore.domain.Sequence,7,6,6
